,Study_ID,First_Author,Publication_Year,Title,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bibliography_Searched,Exclude,Notes,Case_Count,Age_Low,Age_High,Age_Mean,Age_Median,Gender_Male_Cases,Gender_Male_Rate,Gender_Female_Cases,Gender_Female_Rate,Gender_Unknown_Cases,Gender_Unknown_Rate,Is_Prisoner_Cases,Is_Prisoner_Rate,Is_Psych_Inpat_Cases,Is_Psych_Inpat_Rate,Is_Displaced_Person_Cases,Is_Displaced_Person_Rate,Under_Influence_Alcohol_Cases,Under_Influence_Alcohol_Rate,Psych_Hx_Cases,Psych_Hx_Rate,Severe_Disability_Hx_Cases,Severe_Disability_Hx_Rate,Previous_Ingestions_Cases,Previous_Ingestions_Rate,Motivation_Intent_To_Harm_Cases,Motivation_Intent_To_Harm_Rate,Motivation_Protest_Cases,Motivation_Protest_Rate,Motivation_Psychiatric_Cases,Motivation_Psychiatric_Rate,Motivation_Psychosocial_Cases,Motivation_Psychosocial_Rate,Motivation_Unknown_Cases,Motivation_Unknown_Rate,Motivation_Other_Cases,Motivation_Other_Rate,Motivation_Other_Psych_Hx_Cases,Motivation_Other_Psych_Hx_Rate,Motivation_Other_Severe_Disability_Hx_Cases,Motivation_Other_Severe_Disability_Hx_Rate,Object_Button_Battery_Cases,Object_Button_Battery_Rate,Object_Magnet_Cases,Object_Magnet_Rate,Object_Long_Cases,Object_Long_Rate,Object_Diameter_Large_Cases,Object_Diameter_Large_Rate,Object_Sharp_Cases,Object_Sharp_Rate,Object_Multiple_Cases,Object_Multiple_Rate,Object_Long_Sharp_Cases,Object_Long_Sharp_Rate,Object_Short_Cases,Object_Short_Rate,Object_Short_Sharp_Cases,Object_Short_Sharp_Rate,Outcome_Endoscopy_Cases,Outcome_Endoscopy_Rate,Outcome_Surgery_Cases,Outcome_Surgery_Rate,Outcome_Death_Cases,Outcome_Death_Rate,Outcome_Injury_Needing_Intervention_Cases,Outcome_Injury_Needing_Intervention_Rate,Outcome_Perforation_Cases,Outcome_Perforation_Rate,Outcome_Obstruction_Cases,Outcome_Obstruction_Rate,Outcome_Other_Cases,Outcome_Other_Rate,Outcome_Conservative_Cases,Outcome_Conservative_Rate,Total_Cases,Outcome_Endoscopy_Surgery_Cases,Outcome_Endoscopy_Surgery_Rate
10,101,"Gitlin, D.F.",2007,Foreign-Body Ingestion In Patients With Personality Disorders,Case Series,,Psychiatric Population,"Boston, USA",,Y,N,,,5.0,27.0,53.0,34.6,31.0,1.0,0.2,4.0,0.8,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.8,4.0,0.8,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,2.0,0.4,2.0,0.4,0.0,0.0,2.0,0.4,2.0,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,5.0,0.0,0.0
11,113,"Sakellaridis, T.",2008,An Unusual Case Of A Swallowed Thermometer Perforated In The Mediastinum,Case Report,,Single Centre,"Athens, Greece",,Y,N,,,1.0,39.0,39.0,39.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12,131,"Palto, R.",2009,Foreign-Body Ingestion: Characteristics And Outcomes In A Lower Socioeconomic Population With Predominantly Intentional Ingestion,Retrospective Chart Review,"Predominantly intentional ingestion, in a lower socioeconomic status population",Urban County Hospital,"Los Angeles, California, USA",10.1016/j.gie.2008.05.072,Y,N,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,138,"Islam, S.R.",2010,Endoscopic Removal Of Multiple Duodenum Foreign Bodies: An Unusual Occurrence,Case Report,,,,,Y,N,,,1.0,62.0,62.0,62.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,139,"Huang, B.L.",2010,Intentional Swallowing Of Foreign Bodies Is A Recurrent And Costly Problem That Rarely Causes Endoscopy Complications,Retrospective Chart Review,,Rhode Island Hospital,"Providence, Rhode Island, USA",10.1016/j.cgh.2010.07.013,Y,N,,Does not report endoscopy rates.,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,148,"Sobnach, S.",2011,Penetrating Cardiac Injury Following Sewing Needle Ingestion,Case Report,,,,,Y,N,,,1.0,19.0,19.0,19.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
16,168,"Trgo, G.",2012,Successful Endoscopic Removal Of A Lighter Swallowed 17 Months Before,Case Report,,"Department of Internal Medicine, Division of Gastroenterology, University Hospital Split","Split, Croatia",,Y,N,,,1.0,36.0,36.0,36.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
17,171,"Tammana, V.S.",2012,All The Wrong Places: An Unusual Case Of Foreign Body Ingestion And Inhalation,Case Report,,Howard University Hospital,"Washington DC, USA",,Y,N,,,1.0,26.0,26.0,26.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,172,"Naji, H.",2011,Bowel Injuries Caused By Ingestion Of Multiple Magnets In Children: A Growing Hazard,Case Series,,Astrid Lindgren Children’s Hospital,"Stockholm, Sweden",,Y,N,,,1.0,12.0,12.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,175,"Hyung Lee, J.",2012,What Is The Role Of Plain Radiography In Patients With Foreign Bodies In The Gastrointestinal Tract?,Review,,"Kyung Hee University Hospital at Gangdong, School of Medicine, Kyung Hee University","Seoul, South Korea",,Y,N,,,2.0,32.0,62.0,47.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20,182,"DiPoce, J.",2012,Radiologic Findings In Cases Of Attempted Suicide And Other Self-Injurious Behavior,Review,,Staten Island University Hospital,"New York, USA",,Y,N,,,2.0,25.0,27.0,26.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,0.0,0.0
21,192,"Dalal, P.P",2013,Intentional Foreign Object Ingestions: Need For Endoscopy And Surgery,Review,Single-center retrospective review of inmates presenting to The Ohio State University Wexner Medical Center with IIFO between January 2004 and January 2012.,Ohio State University Wexner Medical Center,"Columbus, Ohio, USA",,Y,N,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,195,"Yu, H.",2014,Single-Incision Laparoscopic Surgery For Ingested Foreign Body Removal,Case Report,,Unknown,Unknown,,Y,N,,,1.0,16.0,16.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,214,"Tanrikulu, Y.",2015,Ingestion Of Multiple Magnets For Suicide,Case Report,,Emergency Department,Hong Kong,,Y,N,,,1.0,17.0,17.0,17.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
24,217,"Wadhwa, C.",2015,The Mule With Golden Eggs: Retrieval Of Unusual Foreign Body,Case Report,,Surgicla Outpatient Department,"Kamataka, India",10.4103/0976-5042.159247,Y,N,,,1.0,44.0,44.0,44.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,219,"Wnek, B.",2015,Foreign Body In The Gastrointestinal Tract Leading To Small Bowel Obstruction--Case Report And Literature Review,Case Report,,Department of General and Colorectal Surgery,"Poznan, Poland",,Y,N,,,1.0,33.0,33.0,33.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,226,"Seval, A.",2015,A Deliberately Swallowed Foreign Body: Money Package,Case Report,,Izmir Tepecik Education and Research Hospital,"Izmir, Turkey",10.1055/s-0035-1569668,Y,N,,,1.0,23.0,23.0,23.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,231,"Dunphy, L.",2015,Ingested Cylindrical Batteries In An Incarcerated Male: A Caustic Tale!,Case Report,,"Department of Surgery, University Hospital","Milton Keynes, UK",10.1136/bcr-2014-208922,Y,N,,,1.0,37.0,37.0,37.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
